scope,heuristic,K10,K25,K50,K100,K200,K500
11_subset,sim_mean,58.6±4.4,56.1±1.5,68.7±4.4,76.8±1.7,75.8±4.0,76.8±2.3
all_17,sim_mean,58.3±3.1,60.5±0.8,70.8±5.9,78.7±2.7,78.7±1.9,76.2±0.8
