query_model,db_model,dim_x,dim_y,same_dim,K,seed,sim_mean,method,zscore_applied,alpha,recall_at_1,recall_at_5,recall_at_10,mrr,median_rank
A,N,384,768,False,50,314,-0.0023750117979943752,RAT,True,,0.0,0.002,0.012,0.00974340549772775,264
A,N,384,768,False,50,314,-0.0023750117979943752,Ridge,,100.0,0.002,0.008,0.014,0.012243072221462262,252
A,N,384,768,False,50,314,-0.0023750117979943752,Affine,,0.0001,0.002,0.006,0.012,0.011829700969253131,245
A,N,384,768,False,100,314,0.0069157131947577,RAT,True,,0.0,0.016,0.026,0.013210251380526639,246
A,N,384,768,False,100,314,0.0069157131947577,Ridge,,1.0,0.006,0.01,0.024,0.01655726609917432,249
A,N,384,768,False,100,314,0.0069157131947577,Affine,,0.01,0.006,0.014,0.026,0.01800603490072298,241
A,N,384,768,False,200,314,0.012948459945619106,RAT,True,,0.002,0.018,0.028,0.015277943804750662,246
A,N,384,768,False,200,314,0.012948459945619106,Ridge,,100.0,0.004,0.01,0.022,0.015088512016565877,247
A,N,384,768,False,200,314,0.012948459945619106,Affine,,100.0,0.002,0.01,0.018,0.013562002227870287,249
A,N,384,768,False,500,314,0.019699418917298317,RAT,True,,0.0,0.012,0.02,0.012659368841142849,263
A,N,384,768,False,500,314,0.019699418917298317,Ridge,,1.0,0.006,0.008,0.018,0.015587685328521656,255
A,N,384,768,False,500,314,0.019699418917298317,Affine,,0.01,0.004,0.012,0.02,0.015050047089851755,262
A,O,384,384,True,10,314,-0.03529377654194832,RAT,True,,0.006,0.012,0.02,0.01599119406057576,254
A,O,384,384,True,10,314,-0.03529377654194832,Procrustes,,,0.004,0.018,0.026,0.016578499066552673,256
A,O,384,384,True,10,314,-0.03529377654194832,Ridge,,0.0001,0.002,0.004,0.014,0.011941203686910708,240
A,O,384,384,True,10,314,-0.03529377654194832,Affine,,0.0001,0.002,0.008,0.026,0.013483338961240545,241
A,O,384,384,True,25,314,-0.009995854459702969,RAT,True,,0.0,0.006,0.01,0.010127478319781929,247
A,O,384,384,True,25,314,-0.009995854459702969,Procrustes,,,0.0,0.014,0.02,0.01305150290938632,233
A,O,384,384,True,25,314,-0.009995854459702969,Ridge,,1.0,0.002,0.006,0.024,0.013263405309053311,245
A,O,384,384,True,25,314,-0.009995854459702969,Affine,,0.0001,0.002,0.006,0.016,0.012562310266735021,252
A,O,384,384,True,50,314,-0.0023750117979943752,RAT,True,,0.0,0.004,0.016,0.010145382830152315,248
A,O,384,384,True,50,314,-0.0023750117979943752,Procrustes,,,0.0,0.006,0.006,0.00984655963347564,256
A,O,384,384,True,50,314,-0.0023750117979943752,Ridge,,1.0,0.002,0.01,0.024,0.014057091000707924,259
A,O,384,384,True,50,314,-0.0023750117979943752,Affine,,0.0001,0.002,0.01,0.022,0.014390009226573665,245
A,O,384,384,True,100,314,0.0069157131947577,RAT,True,,0.002,0.008,0.014,0.012186906742308707,245
A,O,384,384,True,100,314,0.0069157131947577,Procrustes,,,0.002,0.01,0.018,0.01261803610219508,259
A,O,384,384,True,100,314,0.0069157131947577,Ridge,,0.0001,0.0,0.012,0.024,0.013468690008154273,253
A,O,384,384,True,100,314,0.0069157131947577,Affine,,100.0,0.002,0.01,0.018,0.013583336334726711,247
A,O,384,384,True,200,314,0.012948459945619106,RAT,True,,0.002,0.01,0.022,0.01295693093123683,241
A,O,384,384,True,200,314,0.012948459945619106,Procrustes,,,0.0,0.004,0.024,0.011827694836445768,244
A,O,384,384,True,200,314,0.012948459945619106,Ridge,,0.0001,0.0,0.012,0.022,0.012592912842753243,255
A,O,384,384,True,200,314,0.012948459945619106,Affine,,1.0,0.002,0.014,0.024,0.01502531014305363,239
A,O,384,384,True,500,314,0.019699418917298317,RAT,True,,0.0,0.008,0.02,0.011015286464982572,243
A,O,384,384,True,500,314,0.019699418917298317,Procrustes,,,0.002,0.004,0.012,0.010926421379720096,239
A,O,384,384,True,500,314,0.019699418917298317,Ridge,,0.0001,0.004,0.014,0.02,0.01521799653630646,260
A,O,384,384,True,500,314,0.019699418917298317,Affine,,0.0001,0.002,0.012,0.016,0.013561282821225148,259
A,P,384,384,True,10,314,-0.03529377654194832,RAT,True,,0.008,0.008,0.012,0.016285709090779622,269
A,P,384,384,True,10,314,-0.03529377654194832,Procrustes,,,0.004,0.012,0.032,0.01636670554793208,254
A,P,384,384,True,10,314,-0.03529377654194832,Ridge,,100.0,0.002,0.014,0.018,0.013525343479739764,247
A,P,384,384,True,10,314,-0.03529377654194832,Affine,,0.0001,0.002,0.008,0.018,0.013110714496322323,248
A,P,384,384,True,25,314,-0.009995854459702969,RAT,True,,0.0,0.01,0.028,0.012567596452133099,258
A,P,384,384,True,25,314,-0.009995854459702969,Procrustes,,,0.002,0.006,0.016,0.012517215053686186,253
A,P,384,384,True,25,314,-0.009995854459702969,Ridge,,0.0001,0.002,0.01,0.024,0.013546229541897126,235
A,P,384,384,True,25,314,-0.009995854459702969,Affine,,100.0,0.002,0.01,0.02,0.013575843685860307,250
A,P,384,384,True,50,314,-0.0023750117979943752,RAT,True,,0.0,0.008,0.02,0.01169338805327152,262
A,P,384,384,True,50,314,-0.0023750117979943752,Procrustes,,,0.002,0.004,0.01,0.011036707257150263,259
A,P,384,384,True,50,314,-0.0023750117979943752,Ridge,,0.0001,0.0,0.006,0.012,0.010274297904011817,258
